Date,NewCases
3/4/20,2.5
3/5/20,2.5
3/6/20,5
3/7/20,8
3/8/20,2.5
3/9/20,0
3/10/20,2.5
3/11/20,2.5
3/12/20,5
3/13/20,10
3/14/20,13
3/15/20,14
3/16/20,36
3/17/20,46
3/18/20,50
3/19/20,48
3/20/20,67
3/21/20,48
3/22/20,41
3/23/20,90
3/24/20,97
3/25/20,117
3/26/20,133
3/27/20,135
3/28/20,114
3/29/20,76
3/30/20,173
3/31/20,203
4/1/20,212
4/2/20,227
4/3/20,335
4/4/20,153
4/5/20,205
4/6/20,316
4/7/20,311
4/8/20,297
4/9/20,362
4/10/20,313
4/11/20,204
4/12/20,154
4/13/20,324
4/14/20,356
4/15/20,332
4/16/20,306
4/17/20,432
4/18/20,209
4/19/20,183
4/20/20,405
4/21/20,350
4/22/20,385
4/23/20,350
4/24/20,392
4/25/20,192
4/26/20,120
4/27/20,245
4/28/20,259
4/29/20,280
4/30/20,266
5/1/20,240
5/2/20,113
5/3/20,132
5/4/20,211
5/5/20,209
5/6/20,212
5/7/20,188
5/8/20,132
5/9/20,79
5/10/20,32
5/11/20,117
5/12/20,151
5/13/20,134
5/14/20,105
5/15/20,118
5/16/20,62
5/17/20,40
5/18/20,98
5/19/20,100